Ruta,Texto original,Traducción
command[18].textData,"""Грр грр.""",
command[19],____TEXT____,
command[20].textData,На его лице появляется что-то отдалённо ,
command[21].textData,напоминающее улыбку.,
command[24],____TEXT____,
command[25].textData,Ты чувствуешь себя храбрее после этих слов.,
command[0].textComment,INFECTIONS,
command[111],____TEXT____,
command[112].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[113].textData,дав жизнь \N[1].,
command[124],____TEXT____,
command[125].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[126].textData,дав жизнь \N[2].,
command[137],____TEXT____,
command[138].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[139].textData,дав жизнь \N[3].,
command[150],____TEXT____,
command[151].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[152].textData,дав жизнь \N[4].,
command[163],____TEXT____,
command[164].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[165].textData,дав жизнь \N[5].,
command[176],____TEXT____,
command[177].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[178].textData,дав жизнь \N[6].,
command[189],____TEXT____,
command[190].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[191].textData,дав жизнь \N[8].,
command[202],____TEXT____,
command[203].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[204].textData,дав жизнь \N[9].,
command[215],____TEXT____,
command[216].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[217].textData,дав жизнь \N[11].,
command[228],____TEXT____,
command[229].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[230].textData,дав жизнь \N[19].,
command[241],____TEXT____,
command[242].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[243].textData,дав жизнь \N[20].,
command[254],____TEXT____,
command[255].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[256].textData,дав жизнь \N[21].,
command[264],____TEXT____,
command[265].textData,\c[7]Наз'ра\c[0],
command[266].textData,"""Что за чушь ты несёшь!!?""",
command[267],____TEXT____,
command[268].textData,\c[7]Наз'ра\c[0],
command[269].textData,"""Пытаешься сделать меня мальчиком для битья,грязный ",
command[270].textData,"червь!!?""",
command[271],____TEXT____,
command[272].textData,\c[7]Наз'ра\c[0],
command[273].textData,"""Я делал из людей обугленные кебабы и за меньшую ",
command[274].textData,"дерзость!""",
command[0].textComment,MAIN CHARACTER DEAD?,
command[191].textComment,TEAM DEAD,
command[0].textComment,REMOVE_OLD_GUARDIAN_SOUL,
command[0].textComment,SpecialSkills,
command[1].textComment,Blood golem,
command[32].textComment,STEAL,
command[63].textComment,Run!,
command[77],____TEXT____,
command[78].textData,Отряд пытается сбежать... .\,
command[79].textData,Побег не удался!,
command[84],____TEXT____,
command[85].textData,Отряд пытается сбежать...,
command[93].textComment,Leg sweep!,
command[8].textComment,Setting up GUARD DISMEMBERMENT,
command[0].textComment,GUARD DISMEMBERMENT,
command[0].textComment,TORSO DESTROYED,
command[1].textComment,BATTLE START,
command[52].textComment,PINECONE PIG,
command[0].textComment,HEAD DESTROYED,
command[0].textComment,MOVE CONTROL,
command[8].textComment,TACKLE,
command[22].textComment,SNAP NECK,
command[27].textComment,TEAM DEAD,
command[0].textComment,SNAP NECK,
command[15],___CHOICE___,
command[15].textChoice[0],ОРЁЛ,
command[15].textChoice[1],РЕШКА,
command[1].textComment,MAIN CHARACTER DEAD?,
command[192].textComment,TEAM DEAD,
command[0].textComment,PHOBIAS,
command[0].textComment,TALK,
command[1],____TEXT____,
command[2].textData,Ты пытаешься поговорить с чудовищем...,
command[3],___CHOICE___,
command[3].textChoice[0],"""Откуда ты взялся?""",
command[3].textChoice[1],"""Стой. Нам нет нужды сражаться!""",
command[3].textChoice[2],"""Умоляю, не надо!""",
command[3].textChoice[3],"""Приготовься умереть!""",
command[5],____TEXT____,
command[6].textData,\c[7]Стражник\c[0],
command[7].textData,"""Иззнаассиии... лллую...""",
command[8],____TEXT____,
command[9].textData,"Ты не уверен, понимает ли он тебя или нет...",
command[12],____TEXT____,
command[13].textData,Это существо молча готовится атаковать...,
command[16],____TEXT____,
command[17].textData,\c[7]Стражник\c[0],
command[18].textData,"""Грр грр.""",
command[19],____TEXT____,
command[20].textData,На его лице появляется что-то отдалённо ,
command[21].textData,напоминающее улыбку.,
command[24],____TEXT____,
command[25].textData,Ты чувствуешь себя храбрее после этих слов.,
command[0].textComment,INFECTIONS,
command[111],____TEXT____,
command[112].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[113].textData,дав жизнь \N[1].,
command[124],____TEXT____,
command[125].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[126].textData,дав жизнь \N[2].,
command[137],____TEXT____,
command[138].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[139].textData,дав жизнь \N[3].,
command[150],____TEXT____,
command[151].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[152].textData,дав жизнь \N[4].,
command[163],____TEXT____,
command[164].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[165].textData,дав жизнь \N[5].,
command[176],____TEXT____,
command[177].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[178].textData,дав жизнь \N[6].,
command[189],____TEXT____,
command[190].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[191].textData,дав жизнь \N[8].,
command[202],____TEXT____,
command[203].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[204].textData,дав жизнь \N[9].,
command[215],____TEXT____,
command[216].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[217].textData,дав жизнь \N[11].,
command[228],____TEXT____,
command[229].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[230].textData,дав жизнь \N[19].,
command[241],____TEXT____,
command[242].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[243].textData,дав жизнь \N[20].,
command[254],____TEXT____,
command[255].textData,"\c[2]Душа Старого защитника\c[0] ломается, ",
command[256].textData,дав жизнь \N[21].,
command[264],____TEXT____,
command[265].textData,\c[7]Наз'ра\c[0],
command[266].textData,"""Что за чушь ты несёшь!!?""",
command[267],____TEXT____,
command[268].textData,\c[7]Наз'ра\c[0],
command[269].textData,"""Пытаешься сделать меня мальчиком для битья,грязный ",
command[270].textData,"червь!!?""",
command[271],____TEXT____,
command[272].textData,\c[7]Наз'ра\c[0],
command[273].textData,"""Я делал из людей обугленные кебабы и за меньшую ",
command[274].textData,"дерзость!""",
command[0].textComment,MAIN CHARACTER DEAD?,
command[191].textComment,TEAM DEAD,
command[0].textComment,REMOVE_OLD_GUARDIAN_SOUL,
command[0].textComment,SpecialSkills,
command[1].textComment,Blood golem,
command[32].textComment,STEAL,
command[64].textComment,Run!,
command[78],____TEXT____,
command[79].textData,Отряд пытается сбежать... .\,
command[80].textData,Побег не удался!,
command[85],____TEXT____,
command[86].textData,Отряд пытается сбежать...,
command[94].textComment,Leg sweep!,
command[8].textComment,Setting up GUARD DISMEMBERMENT,
command[0].textComment,GUARD DISMEMBERMENT,
command[0].textComment,TORSO DESTROYED,
command[1].textComment,BATTLE START,
command[52].textComment,PINECONE PIG,
command[0].textComment,HEAD DESTROYED,
command[0].textComment,MOVE CONTROL,
command[8].textComment,TACKLE,
command[22].textComment,SNAP NECK,
command[27].textComment,TEAM DEAD,
command[0].textComment,SNAP NECK,
command[15],___CHOICE___,
command[15].textChoice[0],ОРЁЛ,
command[15].textChoice[1],РЕШКА,
command[1].textComment,MAIN CHARACTER DEAD?,
